first_date,days_since,active_users
2020-01-05,0,422
2020-01-05,1,3
2020-01-05,2,5
2020-01-05,3,2
2020-01-05,4,3
2020-01-05,5,7
2020-01-05,6,3
2020-01-05,7,3
2020-01-05,8,3
2020-01-05,10,2
2020-01-05,11,2
2020-01-05,12,2
2020-01-05,13,1
2020-01-05,14,6
2020-01-05,15,4
2020-01-05,16,2
2020-01-05,17,1
2020-01-05,18,6
2020-01-05,19,2
2020-01-05,20,3
2020-01-05,21,6
2020-01-05,22,1
2020-01-05,23,3
2020-01-05,24,2
2020-01-05,25,2
2020-01-05,26,3
2020-01-05,27,12
2020-01-05,28,4
2020-01-05,29,5
2020-01-05,30,6
2020-01-05,31,5
2020-01-05,32,3
2020-01-05,33,7
2020-01-05,34,5
2020-01-05,35,6
2020-01-05,36,5
2020-01-05,37,10
2020-01-05,38,5
2020-01-05,39,9
2020-01-05,40,8
2020-01-05,41,3
2020-01-05,42,5
2020-01-05,44,6
2020-01-05,45,3
2020-01-05,46,6
2020-01-05,47,3
2020-01-05,48,5
2020-01-05,49,7
2020-01-05,50,3
2020-01-05,51,2
2020-01-05,52,2
2020-01-05,54,5
2020-01-05,55,5
2020-01-05,56,2
2020-01-05,57,5
2020-01-05,58,2
2020-01-05,59,3
2020-01-05,60,1
2020-01-05,61,2
2020-01-05,62,5
2020-01-05,63,6
2020-01-05,64,1
2020-01-05,65,8
2020-01-05,67,1
2020-01-05,68,1
2020-01-05,69,1
2020-01-05,70,4
2020-01-05,71,3
2020-01-05,72,4
2020-01-05,73,3
2020-01-05,74,1
2020-01-05,75,1
2020-01-05,76,1
2020-01-05,77,2
2020-01-05,78,1
2020-01-05,80,1
2020-01-05,81,2
2020-01-05,82,2
2020-01-05,83,1
2020-01-05,84,3
2020-01-05,85,2
2020-01-05,86,1
2020-01-05,87,3
2020-01-05,88,2
2020-01-05,90,3
2020-01-05,91,1
2020-01-05,93,1
2020-01-05,94,1
2020-01-05,95,1
2020-01-05,96,2
2020-01-05,99,1
2020-01-05,101,1
2020-01-05,102,1
2020-01-05,104,1
2020-01-05,107,2
2020-01-05,110,1
2020-01-05,111,1
2020-01-05,114,2
2020-01-05,115,2
2020-01-05,116,1
2020-01-05,117,2
2020-01-05,118,2
2020-01-05,119,1
2020-01-05,120,1
2020-01-05,122,3
2020-01-05,125,2
2020-01-05,127,1
2020-01-05,128,2
2020-01-05,129,2
2020-01-05,130,2
2020-01-05,131,1
2020-01-05,132,4
2020-01-05,133,4
2020-01-05,135,1
2020-01-05,137,5
2020-01-05,138,3
2020-01-05,139,2
2020-01-05,140,1
2020-01-05,141,4
2020-01-05,142,3
2020-01-05,143,3
2020-01-05,144,4
2020-01-05,145,2
2020-01-05,146,8
2020-01-05,147,3
2020-01-05,148,6
2020-01-05,149,3
2020-01-05,151,3
2020-01-05,152,5
2020-01-05,153,5
2020-01-05,154,6
2020-01-05,155,4
2020-01-05,156,5
2020-01-05,157,4
2020-01-05,158,2
2020-01-05,159,5
2020-01-05,160,3
2020-01-05,161,7
2020-01-05,162,3
2020-01-05,163,2
2020-01-05,164,3
2020-01-05,165,2
2020-01-05,166,1
2020-01-05,167,1
2020-01-05,168,1
2020-01-05,169,3
2020-01-05,170,5
2020-01-05,171,4
2020-01-05,172,4
2020-01-05,173,3
2020-01-05,174,3
